id,value,feed_id,created_at,lat,lon,ele
0F6XNNGFS8K160W72VCYR99E2M,1,2417160,2023-01-07 05:37:36 UTC,,,
0F6XNNJST8AJ3144H3RFECCFSP,2,2417160,2023-01-07 05:37:43 UTC,,,
0F6XNNMHR8NED90HKVWFRX366V,1,2417160,2023-01-07 05:37:49 UTC,,,
0F6XNNV5AQSSX32NB6T9J4C7F6,0,2417160,2023-01-07 05:38:11 UTC,,,
0F6XNP8DT4WCWSVF7Z8171Q4E5,1,2417160,2023-01-07 05:38:54 UTC,,,
0F6XNPB16H6K87Q12WKABJATXJ,0,2417160,2023-01-07 05:39:03 UTC,,,
0F6XNPECDP4A5454SZY74E41BQ,1,2417160,2023-01-07 05:39:14 UTC,,,
0F6XNPR0G2X6TVT5XH8ZC4BTXD,0,2417160,2023-01-07 05:39:45 UTC,,,
0F6XNQ0M66XWD79TGPEXMP4SR9,1,2417160,2023-01-07 05:40:14 UTC,,,
0F6XNQ673D35KT0D79BVXHMWDY,0,2417160,2023-01-07 05:40:32 UTC,,,
0F6XNRKGZRAM8MREAG2PCZYN92,-1,2417160,2023-01-07 05:43:00 UTC,,,
0F6XNRMS4BETDA5RJFWZ3D04YE,-2,2417160,2023-01-07 05:43:04 UTC,,,
0F6XNRTP9MNBVDFVA482WZ6548,-1,2417160,2023-01-07 05:43:24 UTC,,,
0F6XNRXANJGQXKEN3ATSG54P4V,1,2417160,2023-01-07 05:43:32 UTC,,,
0F6XNSEP7J03FRXMQKDPBZV6NT,1,2417160,2023-01-07 05:44:29 UTC,,,
0F6XNTVJZ0KSCBQKM5TDM7T1RQ,1,2417160,2023-01-07 05:46:56 UTC,,,
0F6XNTYTE47Q434X4HY7Z26C9Q,0,2417160,2023-01-07 05:47:07 UTC,,,
0F6XNV3MR331C1MDTCNGCECCVS,-1,2417160,2023-01-07 05:47:23 UTC,,,
0F6XNVBM0JZMKCQE8PERHVCNKA,1,2417160,2023-01-07 05:47:49 UTC,,,
0F6XNVKB0112DFPRW4353KZGB7,1,2417160,2023-01-07 05:48:14 UTC,,,
0F6XNVR0WCSVTRQZ6MT44TKC20,0,2417160,2023-01-07 05:48:30 UTC,,,
0F6XNVXMVE22D9X1DK1PKVVZER,1,2417160,2023-01-07 05:48:48 UTC,,,
0F6XNW0RPAMMTXHBGN04RKZNFA,2,2417160,2023-01-07 05:48:58 UTC,,,
0F6XNWTDKSABPEEP8K197WGYAD,1,2417160,2023-01-07 05:50:22 UTC,,,
0F6XNXWX3J7TERRPSB5ESDW72V,1,2417160,2023-01-07 05:52:15 UTC,,,
0F6XNXZ3R9ENXJY8NK3YTTP2FQ,0,2417160,2023-01-07 05:52:23 UTC,,,
0F6XNZF23XAQN8F4T52X3HDV5J,1,2417160,2023-01-07 05:55:00 UTC,,,
0F6XNZR2VCZ5Y8S7CHPD4QT6PC,1,2417160,2023-01-07 05:55:29 UTC,,,
0F6XP0377PA9MCCDCMWGDKGNGG,1,2417160,2023-01-07 05:56:06 UTC,,,
0F6XP04ZNY0FV13108GF3BD8PG,2,2417160,2023-01-07 05:56:12 UTC,,,
0F6XP0A427JR0FZJ8ZQYJQXWXF,1,2417160,2023-01-07 05:56:28 UTC,,,
0F6XP0CV15X9E6708FWECXPVD2,0,2417160,2023-01-07 05:56:37 UTC,,,
0F6XP0MEH6TH8ACTXE1RV00MSY,1,2417160,2023-01-07 05:57:02 UTC,,,
0F6XP0NY6GV89AHEBYNR4H06KK,0,2417160,2023-01-07 05:57:07 UTC,,,
0F6XP27RH2YK0H6N5QP83YK5AR,1,2417160,2023-01-07 05:59:50 UTC,,,
0F6XP29GFPMKHFWYHNFRW6VWMN,2,2417160,2023-01-07 05:59:56 UTC,,,
0F6XP2HPAMAE9Z4R5FVVD9XE4D,1,2417160,2023-01-07 06:00:23 UTC,,,
0F6XP44SF56F99HSKMZSTK614F,1,2417160,2023-01-07 06:03:10 UTC,,,
0F6XP4909BN37J8H3RJJ74QRJ8,2,2417160,2023-01-07 06:03:24 UTC,,,
0F6XP4ZDE52Y3GBSRKEFTZW3BB,1,2417160,2023-01-07 06:04:38 UTC,,,
0F6XP5BKTT1TZN71PPE48ZZ69D,1,2417160,2023-01-07 06:05:18 UTC,,,
0F6XP5G3ZFQ0K2G7QN10D9JKM1,2,2417160,2023-01-07 06:05:32 UTC,,,
0F6XP5J22G5GW5JRSJ4NQ3Y3MJ,3,2417160,2023-01-07 06:05:39 UTC,,,
0F6XP7DC55FY9VWYAYNEK5TZ03,1,2417160,2023-01-07 06:08:53 UTC,,,
0F6XP7H4KV5QA25MC3TAF99Z6K,0,2417160,2023-01-07 06:09:05 UTC,,,
0F6XP7HQEBK6DPMEZVX3JF7B2B,-1,2417160,2023-01-07 06:09:07 UTC,,,
0F6XP7RWZYRD0N1JM92FQ1VNTQ,-2,2417160,2023-01-07 06:09:31 UTC,,,
0F6XQ0SSE02NCQBTD33ZG8S5Y7,1,2417160,2023-01-07 06:53:15 UTC,,,
0F6XQ0YQG2YH3KR011GT9XNA0G,0,2417160,2023-01-07 06:53:31 UTC,,,
0F6XQ10CKX1V7YPSJWEHYT2BTZ,-1,2417160,2023-01-07 06:53:37 UTC,,,
0F6XQ193H3VSNDA4RY3DNSCNCC,1,2417160,2023-01-07 06:54:05 UTC,,,
0F6XQ1ADV1HE5S9X6CF4XEK0QS,2,2417160,2023-01-07 06:54:10 UTC,,,
0F6XQ1BJDQRWH8Q3MAMPGZM3NS,1,2417160,2023-01-07 06:54:13 UTC,,,
0F6XQ4EBHQR5AWN31JXJZA8HD2,1,2417160,2023-01-07 06:59:37 UTC,,,
0F6XQ4RZZNNF6F1CJTVHZBS6B5,1,2417160,2023-01-07 07:00:12 UTC,,,
0F6XQ4THSVJM9FBWFAQQACF4WK,0,2417160,2023-01-07 07:00:17 UTC,,,
0F6XQ4X09YJZD119G9GVW9PWXY,-1,2417160,2023-01-07 07:00:25 UTC,,,
0F6XQ4XPSZZ1SMZ5EGA5Y0RDN7,-2,2417160,2023-01-07 07:00:27 UTC,,,
0F6XQ5710NY2Z9QM0DN78FWQ5T,1,2417160,2023-01-07 07:00:58 UTC,,,
0F6XQ58QJWKC2Z85JZ00CADH6D,2,2417160,2023-01-07 07:01:04 UTC,,,
0F6XQ5AM8YQC5B31EWY6N2SQPR,1,2417160,2023-01-07 07:01:10 UTC,,,
0F6XQ5C7C7RFSA85H52P8N23ME,0,2417160,2023-01-07 07:01:15 UTC,,,
0F6XQMGWSB9GVQ5DSQG24KTXG0,1,2417160,2023-01-07 07:27:43 UTC,,,
0F6XQMKJTQN5Y1ZJ91VHRS9DXX,0,2417160,2023-01-07 07:27:52 UTC,,,
0F6XQMN7MNQMAZFKY1M11RKJHV,1,2417160,2023-01-07 07:27:57 UTC,,,
0F6XV1M2D1XS5F54KKZW411NK9,1,2417160,2023-01-07 10:38:23 UTC,,,
0F6XV2XGVV8HFSGY6Y2H51XPAE,1,2417160,2023-01-07 10:40:39 UTC,,,
0F6XV4NEA2FBCEA82ZZ62D6B61,1,2417160,2023-01-07 10:43:42 UTC,,,
0F6XV6XD6XX6C2MJ7FD2PT4VRP,1,2417160,2023-01-07 10:47:38 UTC,,,
0F6XV97X70235REBNA1BNPEFA5,1,2417160,2023-01-07 10:51:42 UTC,,,
0F6XVA0NNJ94A52TG0E1GT8YSP,1,2417160,2023-01-07 10:53:03 UTC,,,
0F6XVAJTZDEPXE1A4914N9F00G,1,2417160,2023-01-07 10:54:03 UTC,,,
0F6XVAQQQMY409JHW0Z4TJ3YYC,0,2417160,2023-01-07 10:54:19 UTC,,,
0F6XVB7XDPQYNHKF4TW5WWWAPY,1,2417160,2023-01-07 10:55:12 UTC,,,
0F6XVBFAQ9105CHH80SKXR2ZN6,1,2417160,2023-01-07 10:55:36 UTC,,,
0F6XVBP18HW441BMV5QYFK3788,0,2417160,2023-01-07 10:55:58 UTC,,,
0F6XVE1BF8T60GWVJ0E799G3V7,1,2417160,2023-01-07 11:00:05 UTC,,,
0F6XVFSSDDDHFH62PZ0NKD70M2,1,2417160,2023-01-07 11:03:10 UTC,,,
0F6XVG20DRTJZ6ATB4SEGDTK82,0,2417160,2023-01-07 11:03:37 UTC,,,
0F6XVGRM59XM7928M9X9A6QQ0S,1,2417160,2023-01-07 11:04:51 UTC,,,
0F6XVJJG9J6T37RXTNE59DFZG8,1,2417160,2023-01-07 11:08:01 UTC,,,
0F6XVK937S190A4SSQK1W23QHR,1,2417160,2023-01-07 11:09:15 UTC,,,
0F6XVMBQNHXKQN4JYR12RJVZ9F,1,2417160,2023-01-07 11:11:08 UTC,,,
0F6XVMFZ2ZBVGDA0CMYJC567RS,0,2417160,2023-01-07 11:11:22 UTC,,,
0F6XVQF8H42WCCWM3JB79PZSZH,1,2417160,2023-01-07 11:16:34 UTC,,,
0F6XVQPTS0XDSXQ54XAEWKC2HM,0,2417160,2023-01-07 11:16:59 UTC,,,
0F6XVV4VB3K8D4WBQMEHSBVMH8,1,2417160,2023-01-07 11:23:00 UTC,,,
0F6XVVRXJ1MTR3QKX5382WDGWK,1,2417160,2023-01-07 11:24:05 UTC,,,
0F6XVX9P8VXYZN1TMM2W42RM1W,1,2417160,2023-01-07 11:26:45 UTC,,,
0F6XVXJ4XXSXBENF6VFDSXB0VZ,0,2417160,2023-01-07 11:27:13 UTC,,,
0F6XW1ASWAWMBY7TZ7ED5HW7ZY,1,2417160,2023-01-07 11:33:48 UTC,,,
0F6XW1GYKJSPZ4A2B6TEV9YP3M,0,2417160,2023-01-07 11:34:08 UTC,,,
0F6XWAJ6FBVE3FJ0YPFN0KDVXR,1,2417160,2023-01-07 11:49:56 UTC,,,
0F6XWATRCJ46RDF695VXT41NQQ,1,2417160,2023-01-07 11:50:24 UTC,,,
0F6XWB29MENHRY7P800V7DBZVR,0,2417160,2023-01-07 11:50:49 UTC,,,
0F6XWBA8HQRTQDQX0MMAFF659P,1,2417160,2023-01-07 11:51:15 UTC,,,
0F6XWBDDF5SD2NP2ABHG9CHBCG,2,2417160,2023-01-07 11:51:25 UTC,,,
0F6XWBFZRC9RX26FRSZPRGE2TB,1,2417160,2023-01-07 11:51:34 UTC,,,
0F6XWR3S4EZBRFW91ARQK3G750,1,2417160,2023-01-07 12:13:37 UTC,,,
0F6XWRPGXRKMW2HR8V86BTZ1A1,0,2417160,2023-01-07 12:14:38 UTC,,,
0F6XWS1KG505E5RKSHRE3GYZGN,1,2417160,2023-01-07 12:15:15 UTC,,,
0F6XWS661YGWWV50GVWDVP60MR,2,2417160,2023-01-07 12:15:30 UTC,,,
0F6XWSEJE5VM81538KTX0AK5TV,1,2417160,2023-01-07 12:15:57 UTC,,,
0F6XWT3MHVG0CR3QSWF7FW9PJR,2,2417160,2023-01-07 12:17:06 UTC,,,
